Account Number,Explanation,Label,Gl Account String,Document Number,Document Type,Invoice_,Doc Number,Total,Invoice,address book name,business unit number,Fund,Jl Effective Date,GL Date,Credit,Debit,Sub Acct Ty Cd,Sub Acct Type,Sub Account,Batch Type,Batch Num,Batch Date,Line Number,Address Book #,Calculation 2,Vendor,Invoice Number,Invoice Date,Payment Date,Business Unit,Object Account,Object Account Descr,Je Category Name,Receipt Num,Business Unit Title (from Business Unit),Calculation,Created,JE Category Name_,last updated by
Journal: $25.76 (20250411) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,163397,Journal,,163397,$25.76,,,53902028,30216,4/11/2025,4/11/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 041825 Main Payroll A 305486 8189060,4/11/2025,6537,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $19.86 (20250131) ,Journal Import Created,53902028.501177.0.R.R240490.30216.053.0.0.0,53902028.501177.0.R.R240490.30216.053.0.0.0,158618,Journal,,158618,$19.86,,,53902028,30216,1/31/2025,1/31/2025,,$19.86,R,4% Resolution,R240490,Journal Batch,BW Costing 020725 Main Payroll A 303718 7913522,1/31/2025,7095,,"""""",,,,,53902028,Employer Pension,Employer Pension,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $933.22 (20250509) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,165703,Journal,,165703,$933.22,,,53902028,30216,5/9/2025,5/9/2025,,$933.22,R,4% Resolution,R240490,Journal Batch,BW Costing 051625 Main Payroll A 306143 8310732,5/9/2025,6647,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $160.58 (20250328) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,162417,Journal,,162417,$160.58,,,53902028,30216,3/28/2025,3/28/2025,,$160.58,R,4% Resolution,R240490,Journal Batch,BW Costing 040425 Main Payroll A 305208 8127935,3/28/2025,6578,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $933.22 (20250523) ,Journal Import Created,53902028.501174.0.R.R240490.30216.053.0.0.0,53902028.501174.0.R.R240490.30216.053.0.0.0,166714,Journal,,166714,$933.22,,,53902028,30216,5/23/2025,5/23/2025,,$933.22,R,4% Resolution,R240490,Journal Batch,BW Costing 053025 Main Payroll A 306437 8372680,5/23/2025,6549,,"""""",,,,,53902028,Employer Group Health,Employer Group Health,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $64.22 (20250606) ,Journal Import Created,53902028.501175.0.R.R240490.30216.053.0.0.0,53902028.501175.0.R.R240490.30216.053.0.0.0,168467,Journal,,168467,$64.22,,,53902028,30216,6/6/2025,6/6/2025,,$64.22,R,4% Resolution,R240490,Journal Batch,BW Costing 061325 Main Payroll A 306919 8467339,6/6/2025,7112,,"""""",,,,,53902028,Employer Dental Group,Employer Dental Group,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $160.53 (20250214) ,Journal Import Created,53902028.501173.0.R.R240490.30216.053.0.0.0,53902028.501173.0.R.R240490.30216.053.0.0.0,158616,Journal,,158616,$160.53,,,53902028,30216,2/14/2025,2/14/2025,,$160.53,R,4% Resolution,R240490,Journal Batch,BW Costing 022125 Main Payroll A 303717 7912998,2/14/2025,6567,,"""""",,,,,53902028,Employer SSN Medical,Employer SSN Medical,Payroll,,,"""""",7/9/2025 9:10am,Payroll,DONNA.FOSTER@NASHVILLE.GOV
Journal: $0.95 (20250425) ,Journal Import Created,53902028.501182.0.R.R240490.30216.053.0.0.0,53902028.501182.0.R.R240490.30216.053.0.0.0,164214,Journal,,164214,$0.95,,,53902028,30216,4/25/2025,4/25/2025,,$0.95,R,4% Resolution,R240490,Journal Batch,BW Costing 050225 Main Payroll A 305688 8230428,4/25/2025,6611,,"""""",,,,,53902028,Cafe Plan Pre-Tax Savings,Cafe Plan Pre-Tax Savings,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $25.76 (20250425) ,Journal Import Created,53902028.501176.0.R.R240490.30216.053.0.0.0,53902028.501176.0.R.R240490.30216.053.0.0.0,164214,Journal,,164214,$25.76,,,53902028,30216,4/25/2025,4/25/2025,,$25.76,R,4% Resolution,R240490,Journal Batch,BW Costing 050225 Main Payroll A 305688 8230428,4/25/2025,6610,,"""""",,,,,53902028,Employer Group Life,Employer Group Life,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
Journal: $688.33 (20250425) ,Journal Import Created,53902028.501172.0.R.R240490.30216.053.0.0.0,53902028.501172.0.R.R240490.30216.053.0.0.0,164214,Journal,,164214,$688.33,,,53902028,30216,4/25/2025,4/25/2025,,$688.33,R,4% Resolution,R240490,Journal Batch,BW Costing 050225 Main Payroll A 305688 8230428,4/25/2025,6606,,"""""",,,,,53902028,Employer OASDI,Employer OASDI,Payroll,,,"""""",7/9/2025 9:10am,Payroll,JAMES.GADSDEN@NASHVILLE.GOV
